2023-12-16 19:32:16,734 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:16,887 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:32:16,931 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:38:42,312 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:38:42,536 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:38:42,636 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:38:42,669 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:02,288 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:02,520 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:02,606 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:02,637 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:46,319 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:46,553 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:46,643 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: sidd, Error Message: Invalid numeric cell type, Row Number: 6, Error Column: UserID, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
2023-12-16 19:39:46,682 ERROR [main] c.m.q.c.u.ErrorLogger [ErrorLogger.java:27] Error Data: 12.0, Error Message: Invalid string cell type, Row Number: 8, Error Column: UserName, File Name: C:\Users\Siddharth Shinde\Desktop\Springmaven\myQfcProject\myQfcProject\mycommon\src\main\resources\success.xlsx
